"bb_c [mm]","Freq [GHz]","dB(S(2,1)) []"
0.5,4.8,-24.707207797152
0.5,4.84,-24.8850020602631
0.5,4.88,-24.9020211427746
0.5,4.92,-24.7375791302373
0.5,4.96,-24.3759221093217
0.5,5,-23.815943735915
0.5,5.04,-23.080396024084
0.5,5.08,-22.2205845387187
0.5,5.12,-21.3147694066802
0.5,5.16,-20.461416059212
0.5,5.2,-19.768325117948
0.5,5.24,-19.3364236171952
0.5,5.28,-19.2384261938252
0.5,5.32,-19.5004094725244
0.5,5.36,-20.0990137550008
0.5,5.4,-20.9761111623174
0.5,5.44,-22.0549842055307
0.5,5.48,-23.235635344745
0.5,5.52,-24.3526311668608
0.5,5.56,-25.1122661830411
0.5,5.6,-25.1482043277462
0.5,5.64,-24.3394097566203
0.5,5.68,-22.9744651894307
0.5,5.72,-21.4458463566086
0.5,5.76,-20.0077438860745
0.5,5.8,-18.7819490796814
0.5,5.84,-17.8188091668334
0.5,5.88,-17.1337118437273
0.5,5.92,-16.7233552385689
0.5,5.96,-16.5737261535714
0.5,6,-16.6654814082732
0.5,6.04,-16.9783885052147
0.5,6.08,-17.4950019078306
0.5,6.12,-18.2034286922428
0.5,6.16,-19.0988227055642
0.5,6.2,-20.182256900577
0.5,6.24,-21.4521006674971
0.5,6.28,-22.8721869477041
0.5,6.32,-24.2771877847606
0.5,6.36,-25.2003060758093
0.5,6.4,-24.9932105639604
0.5,6.44,-23.671168347281
0.5,6.48,-21.973077109564
0.5,6.52,-20.5071401357609
0.5,6.56,-19.5564619651863
0.5,6.6,-19.1913069292921
0.5,6.64,-19.3335810653279
0.5,6.68,-19.8428978591294
0.5,6.72,-20.6406031305536
0.5,6.76,-21.787208584113
0.5,6.8,-23.4496586140563
0.5,6.84,-25.8104578402862
0.5,6.88,-29.0193010308271
0.5,6.92,-33.1281996803759
0.5,6.96,-37.2722542060689
0.5,7,-38.0807481907395
0.5,7.04,-36.3472163562176
0.5,7.08,-34.9122844060169
0.5,7.12,-34.1409454881105
0.5,7.16,-33.8939191276156
0.5,7.2,-34.0499781390073
1.5,4.8,-22.0909918330654
1.5,4.84,-21.8132608376237
