"gx1 [mm]","Freq [GHz]","dB(S(1,1)) []"
1.6,4.8,-0.731346125552682
1.6,4.82,-0.748087379377671
1.6,4.84,-0.787701728634746
1.6,4.86,-0.846765614966799
1.6,4.88,-0.924093527364881
1.6,4.9,-1.01996311191479
1.6,4.92,-1.13575070715566
1.6,4.94,-1.27378825679608
1.6,4.96,-1.43735450546254
1.6,4.98,-1.63076168624986
1.6,5,-1.85952415666284
1.6,5.02,-2.13061100374092
1.6,5.04,-2.4527972570992
1.6,5.06,-2.83714270695411
1.6,5.08,-3.29764881000091
1.6,5.1,-3.85218186228352
1.6,5.12,-4.5238225412973
1.6,5.14,-5.34294615414861
1.6,5.16,-6.35063825790413
1.6,5.18,-7.60469712023979
1.6,5.2,-9.19089845995568
1.6,5.22,-11.2451637488566
1.6,5.24,-13.9947961720342
1.6,5.26,-17.7640325753465
1.6,5.28,-21.7263600450357
1.6,5.3,-20.0798101616538
1.6,5.32,-16.0099491150094
1.6,5.34,-12.9469344934001
1.6,5.36,-10.7219490596222
1.6,5.38,-9.04363774159649
1.6,5.4,-7.73569699364123
1.6,5.42,-6.69126520892787
1.6,5.44,-5.84170445026799
1.6,5.46,-5.14050910652829
1.6,5.48,-4.55481569239013
1.6,5.5,-4.06064922689279
1.6,5.52,-3.64009726078576
1.6,5.54,-3.27953860624368
1.6,5.56,-2.96848294737812
1.6,5.58,-2.69878288991485
1.6,5.6,-2.46408326889382
1.6,5.62,-2.25942700316942
1.6,5.64,-2.08096680631154
1.6,5.66,-1.92574924620058
1.6,5.68,-1.79154780460758
1.6,5.7,-1.6767278122133
1.6,5.72,-1.5801302124065
1.6,5.74,-1.50096419748839
1.6,5.76,-1.43870169284471
1.6,5.78,-1.39297001021243
1.6,5.8,-1.36344299258148
1.6,5.82,-1.34973539839174
1.6,5.84,-1.35130932496682
1.6,5.86,-1.36740391441581
1.6,5.88,-1.39699917674534
1.6,5.9,-1.43882091539716
1.6,5.92,-1.4913870584381
1.6,5.94,-1.55308802601184
1.6,5.96,-1.62228752337177
1.6,5.98,-1.69742729601476
1.6,6,-1.77712056994222
1.6,6.02,-1.86022331555646
1.6,6.04,-1.94587838559401
1.6,6.06,-2.03353317371563
