"Freq [GHz]","mag(CCL) []"
4.8,4.70724250908767
4.82,4.48863104510173
4.84,4.26647429780719
4.86,4.04099158536533
4.88,3.81243866747035
4.9,3.58112076669942
4.92,3.34740738047993
4.94,3.11174924750818
4.96,2.87469778847677
4.98,2.63692726384938
5,2.39925975620154
5.02,2.16269285135459
5.04,1.9284295040483
5.06,1.69790894714819
5.08,1.47283653009015
5.1,1.25520893158217
5.12,1.04732919995628
5.14,0.851803597901397
5.16,0.671509682046234
5.18,0.509523454917122
5.2,0.368994575380708
5.22,0.252964764485129
5.24,0.164137259155692
5.26,0.104623265612881
5.28,0.0757091654466886
5.3,0.0776963954936793
5.32,0.10985641253636
5.34,0.170515902060365
5.36,0.257252786879928
5.38,0.367156910748617
5.4,0.497100874537628
5.42,0.6439761562247
5.44,0.804868956907356
5.46,0.977169445001891
5.48,1.15862126578763
5.5,1.3473241204528
5.52,1.54170261264379
5.54,1.74045191629124
5.56,1.94246717654926
5.58,2.14676017167905
5.6,2.35236429941636
5.62,2.55822781238553
5.64,2.76309585207623
5.66,2.96538486435021
5.68,3.16305923360403
5.7,3.353529996756
5.72,3.53360847711325
5.74,3.69955956172768
5.76,3.84730105457951
5.78,3.97277406937172
5.8,4.07245601080423
5.82,4.14391291892452
5.84,4.18623090814961
5.86,4.20017647543871
5.88,4.18802721714304
5.9,4.15314061625816
5.92,4.09941267465689
5.94,4.03077982442016
5.96,3.95085763237203
5.98,3.86273800781299
6,3.76891835136316
6.02,3.6713185557554
6.04,3.57134506608721
6.06,3.46997282054462
6.08,3.36782772971667
6.1,3.26526117404517
6.12,3.16241347611519
6.14,3.05926623715535
6.16,2.95568475821394
6.18,2.85145222319604
6.2,2.74629736513607
6.22,2.63991722730936
6.24,2.53199649640872
6.26,2.42222478395932
6.28,2.31031318428836
6.3,2.19601144190519
6.32,2.07912709780572
6.34,1.9595480033767
6.36,1.83726948742376
6.38,1.71242703531993
6.4,1.5853342373214
6.42,1.45652344847505
6.44,1.32678243490693
6.46,1.19717394329571
6.48,1.06901773573626
6.5,0.9438106312277
6.52,0.823068750668513
6.54,0.708108521656583
6.56,0.599838985824273
6.58,0.498687657894275
6.6,0.404768251280593
6.62,0.318288332625422
6.64,0.240044952214954
6.66,0.171786861925265
6.68,0.116293270699801
6.7,0.0771642418867577
6.72,0.0584243961752914
6.74,0.0640619083208523
6.76,0.0975879752490042
6.78,0.161658669880255
6.8,0.257781445451803
6.82,0.38613193553197
6.84,0.545511445091297
6.86,0.733460775298134
6.88,0.946511512884835
6.9,1.1805210687407
6.92,1.4310226235583
6.94,1.69353075637488
6.96,1.96376833294467
6.98,2.23780651215324
7,2.51212841877948
7.02,2.78363585288235
7.04,3.04961951806551
7.06,3.30771010854215
7.08,3.55582303595116
7.1,3.79210526133232
7.12,4.01488929836831
7.14,4.22265704992276
7.16,4.41401454246218
7.18,4.58767757851643
7.2,4.74246761277519
