"Freq [GHz]","dB10(MEG1) []","dB10(MEG2) []"
4.8,-10.0135211812663,-10.0019666712246
4.82,-9.67736794746723,-9.66601359931878
4.84,-9.33695352025729,-9.32582645220745
4.86,-8.99272800901162,-8.98185627159754
4.88,-8.6451816282884,-8.63459531822716
4.9,-8.29486417633353,-8.2845964258273
4.92,-7.94240542084936,-7.93249326268831
4.94,-7.58853682001737,-7.57902191037104
4.96,-7.23411498444875,-7.22504414282427
4.98,-6.88014729307695,-6.87157279251872
5,-6.52782011482105,-6.51979962320592
5.02,-6.17853013841036,-6.171126176043
5.04,-5.8339193217899,-5.82719806316876
5.06,-5.49591380473092,-5.48994302165605
5.08,-5.16676652328212,-5.16161245456918
5.1,-4.84910178683649,-4.84482474749966
5.12,-4.54595713876964,-4.54260577450945
5.14,-4.26081286091683,-4.25841714011956
5.16,-3.99759247333968,-3.99615580379698
5.18,-3.76060989728304,-3.76010114158993
5.2,-3.55443432372011,-3.55478089223574
5.22,-3.38364844665415,-3.38473193045738
5.24,-3.25249593708099,-3.25415172674143
5.26,-3.16445098968006,-3.16647286844794
5.28,-3.12178632029656,-3.12393612671176
5.3,-3.12524438820798,-3.12726572777985
5.32,-3.17390752162564,-3.17554154633397
5.34,-3.26531092117174,-3.26631175443934
5.36,-3.39576927772,-3.39591689887405
5.38,-3.56082844797597,-3.55993763246268
5.4,-3.75573385852757,-3.75365876759389
5.42,-3.97582759480349,-3.9724624772938
5.44,-4.21682729531843,-4.21210429822408
5.46,-4.47497977830059,-4.46886503235096
5.48,-4.74710788545957,-4.73959692978188
5.5,-5.03057864633793,-5.02169201521671
5.52,-5.3232193194413,-5.31299884446024
5.54,-5.62320115396709,-5.611707303078
5.56,-5.92890329458217,-5.91621369764392
5.58,-6.23876354935711,-6.22497274166213
5.6,-6.55111976457792,-6.53634009274432
5.62,-6.86404562720596,-6.84840917527564
5.64,-7.17518793954501,-7.15884921549705
5.66,-7.48161869581994,-7.46475764133529
5.68,-7.77972402855687,-7.76254866588928
5.7,-8.06516149143691,-8.04790922198391
5.72,-8.33292348802151,-8.31585979109133
5.74,-8.57754212732342,-8.56095533512221
5.76,-8.79345290570537,-8.77764406405301
5.78,-8.97549815421213,-8.96076587970496
5.8,-9.11950175638106,-9.10612340643837
5.82,-9.22280188051191,-9.21101384256887
5.84,-9.28461310102237,-9.27459388749998
5.86,-9.30612048475183,-9.29798000579166
5.88,-9.29028024516626,-9.28405709353273
5.9,-9.24138434614622,-9.23705081500911
5.92,-9.164503175039,-9.16197596607588
5.94,-9.06493080840596,-9.06408460001289
5.96,-8.94772719520551,-8.94840846088135
5.98,-8.8174032197783,-8.81944250790565
6,-8.6777505637941,-8.68097238304981
6.02,-8.53179057524248,-8.5360207548591
6.04,-8.38180592849953,-8.38687674122237
6.06,-8.22942056077209,-8.23517405737651
6.08,-8.07570095395652,-8.08199095759305
6.1,-7.92126066437752,-7.92795379983994
6.12,-7.76635761459365,-7.77333365658102
6.14,-7.61097922318865,-7.61813096706093
6.16,-7.4549140472518,-7.46214684335898
6.18,-7.29781069619577,-7.30504174346209
6.2,-7.13922583957882,-7.14638330077356
6.22,-6.97866358531137,-6.98568556019488
6.24,-6.81560864071643,-6.82244200963639
6.26,-6.64955567807266,-6.65615480409177
6.28,-6.48003731957862,-6.48636256934565
6.3,-6.30665318632446,-6.31266919634997
6.32,-6.12910251713068,-6.13477609228526
6.34,-5.94722288072217,-5.95252036661115
6.36,-5.76103728613354,-5.76592121341283
6.38,-5.5708111562787,-5.57523593037673
6.4,-5.37711848607704,-5.38102492849921
6.42,-5.18091202051167,-5.18422072975458
6.44,-4.9835842438821,-4.98618815346976
6.46,-4.78699385983364,-4.78875118428257
6.48,-4.59341869934922,-4.59414880303513
6.5,-4.40538972485245,-4.40487622690586
6.52,-4.22538021690148,-4.22338720543871
6.54,-4.05538942084645,-4.05169651564793
6.56,-3.8965661915819,-3.89102447162344
6.58,-3.74910185421259,-3.74170475656952
6.6,-3.61257457196605,-3.6035287110634
6.62,-3.48670707672476,-3.47648366582324
6.64,-3.37223651176111,-3.36158898862974
6.66,-3.27150964362853,-3.2614543151066
6.68,-3.18858033576222,-3.18034619972095
6.7,-3.12884453836806,-3.12380064021985
6.72,-3.09840738452404,-3.09797328559686
6.74,-3.10338263028991,-3.10892584921375
6.76,-3.14924478812628,-3.16197206176025
6.78,-3.24027562336543,-3.26113092347677
6.8,-3.37911604773842,-3.40870241441011
6.82,-3.56645075266194,-3.60499082974291
6.84,-3.80087911973487,-3.848220597667
6.86,-4.07901949836059,-4.13468044998866
6.88,-4.39584374289072,-4.45908418680078
6.9,-4.74517381466862,-4.81507675541684
6.92,-5.12023249494994,-5.19577994966044
6.94,-5.51414410536059,-5.59427889275641
6.96,-5.9203176427652,-6.00398735107626
6.98,-6.33268985756804,-6.41887371785775
7,-6.74584068712229,-6.83356252833868
7.02,-7.1550114593243,-7.24334278108417
7.04,-7.55606000112014,-7.64411704169915
7.06,-7.94538218732286,-8.03232022171016
7.08,-8.3198218364892,-8.40482917403763
7.1,-8.67658342139576,-8.75887686950319
7.12,-9.01315617052512,-9.09197915071507
7.14,-9.32725400495526,-9.40187804052147
7.16,-9.6167730661664,-9.68650296828251
7.18,-9.87976689243314,-9.94394961373144
7.2,-10.1144381892767,-10.1724749624638
