"Freq [GHz]","dB20(TARC) []"
4.8,-0.756858469384437
4.82,-0.81525364892722
4.84,-0.881248861109019
4.86,-0.955987330859034
4.88,-1.04083896645703
4.9,-1.13745069567576
4.92,-1.24780965238775
4.94,-1.37432261133548
4.96,-1.51991597791843
4.98,-1.68816174676511
5,-1.88343614992504
5.02,-2.11111918092896
5.04,-2.37784466113476
5.06,-2.69181164117294
5.08,-3.06316780434742
5.1,-3.50447193095405
5.12,-4.03122957184592
5.14,-4.66245777958073
5.16,-5.42112430778663
5.18,-6.33398289446233
5.2,-7.42935229984521
5.22,-8.72842507366715
5.24,-10.2171270121376
5.26,-11.7671753965559
5.28,-12.9881664913005
5.3,-13.2670834309682
5.32,-12.4389632345803
5.34,-11.0380232742222
5.36,-9.57634738474351
5.38,-8.26506326300934
5.4,-7.14868864244397
5.42,-6.21466023328939
5.44,-5.43640416309422
5.46,-4.78712225072163
5.48,-4.24353318478788
5.5,-3.78641424627954
5.52,-3.40020312118928
5.54,-3.07239364014984
5.56,-2.79295546053729
5.58,-2.55383961494486
5.6,-2.3485762599809
5.62,-2.17195395044544
5.64,-2.01976609001049
5.66,-1.88861098472536
5.68,-1.77573396568419
5.7,-1.67890222354744
5.72,-1.59630494304262
5.74,-1.5264729562039
5.76,-1.46821346695967
5.78,-1.42055648376689
5.8,-1.3827104797104
5.82,-1.35402551831533
5.84,-1.33396266262702
5.86,-1.32206893606772
5.88,-1.31795742930516
5.9,-1.32129234749358
5.92,-1.33177887163205
5.94,-1.34915768039536
5.96,-1.37320387262313
5.98,-1.40372988488845
6,-1.44059185879834
6.02,-1.48369882135145
6.04,-1.53302403029355
6.06,-1.58861791868529
6.08,-1.65062224472827
6.1,-1.71928529504694
6.12,-1.79497827639052
6.14,-1.87821333560399
6.16,-1.96966395160414
6.18,-2.07018873497902
6.2,-2.18085994763478
6.22,-2.30299831523445
6.24,-2.43821593980142
6.26,-2.58846929465119
6.28,-2.75612431367691
6.3,-2.94403529033552
6.32,-3.15563832679249
6.34,-3.39505778006501
6.36,-3.66721944285119
6.38,-3.97795533144916
6.4,-4.33406950862905
6.42,-4.74330985348239
6.44,-5.21415707810274
6.46,-5.75530896101498
6.48,-6.37473793839469
6.5,-7.07831084210852
6.52,-7.86830085073602
6.54,-8.74275528692563
6.56,-9.69730291969596
6.58,-10.7305515648144
6.6,-11.8513543415052
6.62,-13.0806735447356
6.64,-14.4325702896091
6.66,-15.8417082684151
6.68,-16.9892594252698
6.7,-17.1974821734708
6.72,-16.0965260515734
6.74,-14.2436971527348
6.76,-12.2954704046159
6.78,-10.5299207580186
6.8,-9.00739471623403
6.82,-7.71630099627656
6.84,-6.62754139200563
6.86,-5.71083691341092
6.88,-4.93899741895116
6.9,-4.28866226498292
6.92,-3.74007813978012
6.94,-3.2766611159904
6.96,-2.88454883367788
6.98,-2.55219274019522
7,-2.26999852911949
7.02,-2.03001322844598
7.04,-1.82565560911131
7.06,-1.65148625707695
7.08,-1.50301344411825
7.1,-1.37653076928274
7.12,-1.26898251912092
7.14,-1.17785284386194
7.16,-1.10107514157545
7.18,-1.03695842979665
7.2,-0.984127912142933
