"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
4.8,-1.0020885374424,-23.7660752266667
4.82,-1.09238100344588,-23.7189230804585
4.84,-1.19355013030946,-23.6470561804649
4.86,-1.30712158096261,-23.5511824636452
4.88,-1.43488755689256,-23.4320922856458
4.9,-1.57895985952312,-23.2906970504101
4.92,-1.74183593516023,-23.1280694517578
4.94,-1.92648172057878,-22.9454855235803
4.96,-2.13643651162114,-22.744468700476
4.98,-2.37594707935847,-22.5268360988793
5,-2.65014113598899,-22.2947472080683
5.02,-2.96525442592642,-22.0507550590876
5.04,-3.32893183646613,-21.7978595935042
5.06,-3.75063202284072,-21.5395621712521
5.08,-4.24217882946748,-21.2799186196603
5.1,-4.81852408402525,-21.0235855236657
5.12,-5.4988195126387,-20.7758501947788
5.14,-6.30794539400277,-20.5426288682744
5.16,-7.27870487172727,-20.330411000276
5.18,-8.45489171725953,-20.1461225786971
5.2,-9.89493405469557,-19.9968827772703
5.22,-11.6724279579261,-19.8896419803103
5.24,-13.8507312920045,-19.8307189653556
5.26,-16.310706174732,-19.8252968910075
5.28,-18.0811176835457,-19.8769758836852
5.3,-17.4337319169995,-19.987490484265
5.32,-15.1511862287677,-20.156665061687
5.34,-12.836003113091,-20.3826038536817
5.36,-10.9062776782463,-20.6620234803717
5.38,-9.34600477693471,-20.990570021315
5.4,-8.07896128853947,-21.3629376583664
5.42,-7.03847349732896,-21.7726127348463
5.44,-6.17401301314092,-22.2110856965596
5.46,-5.44805941734799,-22.6664013854169
5.48,-4.83257385423878,-23.1210055628586
5.5,-4.30635632117368,-23.5491301791926
5.52,-3.85319757158351,-23.9146608029144
5.54,-3.46059222113454,-24.1716200069824
5.56,-3.11883025578686,-24.2702932806518
5.58,-2.82034345213765,-24.1703203081898
5.6,-2.55922520160359,-23.8561374006951
5.62,-2.33086924323049,-23.344664512808
5.64,-2.13169005455527,-22.6790134511558
5.66,-1.95889900278495,-21.9132605763821
5.68,-1.81031829267615,-21.0985352032208
5.7,-1.68422076700036,-20.2758850021217
5.72,-1.57918857320391,-19.4750923397302
5.74,-1.49398797717214,-18.7164395357945
5.76,-1.42746116666123,-18.0131657904881
5.78,-1.37843844327234,-17.3735950695432
5.8,-1.34567533129087,-16.8026852522768
5.82,-1.32781852224951,-16.3030664000705
5.84,-1.32340225758749,-15.8757139146612
5.86,-1.33087323820962,-15.5203886336273
5.88,-1.34863836203592,-15.2359392644718
5.9,-1.37512659501773,-15.0205279542885
5.92,-1.40885491724936,-14.8718138352281
5.94,-1.44848887472951,-14.7871122234863
5.96,-1.49289053154076,-14.7635370447134
5.98,-1.54114984220995,-14.7981289424151
6,-1.59259879237501,-14.8879695332349
6.02,-1.64681038061329,-15.0302819297836
6.04,-1.70358624539105,-15.2225179283136
6.06,-1.76293742689063,-15.4624325174456
6.08,-1.8250625912765,-15.748146235854
6.1,-1.89032734725177,-16.0781951364986
6.12,-1.95924736629056,-16.4515663903793
6.14,-2.03247712158762,-16.8677143277347
6.16,-2.1108053352025,-17.3265459131131
6.18,-2.19515772906204,-17.8283543372814
6.2,-2.28660740999797,-18.3736610959431
6.22,-2.38639313874044,-18.962894589727
6.24,-2.49594577107209,-19.5957772265444
6.26,-2.61692323199115,-20.2702001356501
6.28,-2.7512543815274,-20.9802265145687
6.3,-2.90119189969594,-21.7127145517369
6.32,-3.06937362603596,-22.4420826525648
6.34,-3.25889028788411,-23.1235784671716
6.36,-3.47335475455756,-23.6883211460805
6.38,-3.71696330633909,-24.048807747853
6.4,-3.99453261849581,-24.1253077810507
6.42,-4.31148818520211,-23.8871804810313
6.44,-4.67377514447106,-23.3757271347581
6.46,-5.08767259976305,-22.6842911619065
6.48,-5.5595405439478,-21.9171624577604
6.5,-6.09564549486764,-21.1614731674914
6.52,-6.70240945756557,-20.4796505036066
6.54,-7.38763854677423,-19.9123078227381
6.56,-8.16331363077853,-19.4827684091047
6.58,-9.05015396785397,-19.2002917648769
6.6,-10.0835308811527,-19.0624008550445
6.62,-11.3200048569756,-19.0574911019133
6.64,-12.8436041093113,-19.1684229970356
6.66,-14.7651183117319,-19.3770051603914
6.68,-17.1584477615841,-19.6686782288386
6.7,-19.591298278804,-20.036448801423
6.72,-19.9342292930882,-20.4831667831629
6.74,-17.4317522106865,-21.0215952072217
6.76,-14.4861325322585,-21.6723664712005
6.78,-12.0096783645428,-22.460621761919
6.8,-10.017657674,-23.4124994224317
6.82,-8.40953030964264,-24.5523924855221
6.84,-7.09965134227081,-25.9010004611812
6.86,-6.02496749019752,-27.4725736138695
6.88,-5.13876726814531,-29.2665278585399
6.9,-4.40534401083076,-31.241352491572
6.92,-3.7966157246475,-33.2473737436189
6.94,-3.29007170847434,-34.9210604949591
6.96,-2.86747876357757,-35.7542928818686
6.98,-2.51400267913266,-35.60634989248
7,-2.21756122731342,-34.8909478682788
7.02,-1.96831720122733,-34.0495100402569
7.04,-1.758267141448,-33.293933737195
7.06,-1.58090322567964,-32.6864854754706
7.08,-1.43093506880772,-32.2305016127218
7.1,-1.30406191193267,-31.9116211311758
7.12,-1.19678729151058,-31.7125780711972
7.14,-1.10626923962447,-31.6178396830101
7.16,-1.03019989665127,-31.614706900658
7.18,-0.966709245056006,-31.6932556631495
7.2,-0.914288488085772,-31.8459372882367
