"Freq [GHz]","dB(PeakRealizedGain) []"
4.8,-1.74415134811775
4.82,-1.32666235879012
4.84,-0.91214331094679
4.86,-0.500561307248521
4.88,-0.0920447995435909
4.9,0.313107204893849
4.92,0.714431077628115
4.94,1.11141589706322
4.96,1.50287496603318
4.98,1.88734062574983
5,2.26329542879949
5.02,2.62890554553881
5.04,2.98231295307852
5.06,3.32091667756412
5.08,3.64162711541233
5.1,3.94126065840711
5.12,4.21620190687076
5.14,4.4625632372319
5.16,4.6767109316504
5.18,4.85505656361998
5.2,4.99723485862003
5.22,5.10025736673319
5.24,5.16456157444741
5.26,5.20109490921019
5.28,5.21800506498772
5.3,5.24739857659359
5.32,5.28093252847382
5.34,5.28245867591943
5.36,5.24059740751582
5.38,5.1556775009615
5.4,5.02783096961119
5.42,4.86119462447843
5.44,4.65771029393252
5.46,4.42024417875644
5.48,4.15001173570422
5.5,3.85189146130031
5.52,3.52383546053225
5.54,3.16672496501387
5.56,2.78269181928508
5.58,2.36887074957296
5.6,1.92585426241476
5.62,1.45587033869183
5.64,0.958378584534802
5.66,0.438198527004071
5.68,-0.105032460842191
5.7,-0.664062444667788
5.72,-1.23556819819814
5.74,-1.81269674162688
5.76,-2.38737984380204
5.78,-2.94996987171217
5.8,-3.4891507706163
5.82,-3.99216048851599
5.84,-3.59580111970512
5.86,-3.10482723271762
5.88,-2.61562185339231
5.9,-2.14138456552018
5.92,-1.68638297282243
5.94,-1.25556281701457
5.96,-0.846147650335629
5.98,-0.464447626013393
6,-0.109648804588342
6.02,0.224914864966931
6.04,0.532812992319677
6.06,0.822360588100434
6.08,1.09090958977513
6.1,1.34347398449916
6.12,1.57907311193474
6.14,1.80542358714434
6.16,2.01735689178522
6.18,2.22009113139645
6.2,2.4170284556668
6.22,2.60611151950907
6.24,2.78874658110673
6.26,2.9713219383572
6.28,3.14958744278272
6.3,3.32461028619495
6.32,3.49724202721669
6.34,3.67135955253751
6.36,3.84519232233096
6.38,4.01782354810459
6.4,4.18995682374355
6.42,4.36148069621858
6.44,4.5342910619847
6.46,4.70933940350598
6.48,4.8854474143626
6.5,5.06359960561418
6.52,5.24521668858955
6.54,5.43075133455388
6.56,5.61883422471709
6.58,5.80663204577966
6.6,5.98949878092964
6.62,6.16359395554324
6.64,6.32150918718678
6.66,6.4564451723192
6.68,6.56151079347203
6.7,6.62994056090252
6.72,6.65549923051058
6.74,6.63280055955224
6.76,6.55861954995352
6.78,6.43021148316241
6.8,6.24444496813123
6.82,6.00155734222753
6.84,5.70362235416831
6.86,5.35442028056573
6.88,4.95910098476484
6.9,4.52369632017683
6.92,4.05459315720335
6.94,3.55806997450677
6.96,3.0399572763175
6.98,2.50543770482197
7,1.95896796907611
7.02,1.40681659421554
7.04,0.851401936827166
7.06,0.295772676470306
7.08,-0.254636831490385
7.1,-0.795896575150269
7.12,-1.32093436927091
7.14,-1.82373353591426
7.16,-2.30176679653593
7.18,-2.75102281767312
7.2,-3.17302709435897
