"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
6.7,0,-180,-22.7489228669606,-21.3086610733856
6.7,0,-178,-25.1297331895793,-18.0529217393506
6.7,0,-176,-27.9005069859407,-15.3730300086411
6.7,0,-174,-29.3238362298271,-13.2905782784111
6.7,0,-172,-27.2035842567006,-11.6458117561174
6.7,0,-170,-23.970394604567,-10.3206178724353
6.7,0,-168,-21.1681692808538,-9.23746986337948
6.7,0,-166,-18.8818337872176,-8.34482963497427
6.7,0,-164,-16.9912571374102,-7.60729319315527
6.7,0,-162,-15.3951657110115,-6.99972603815956
6.7,0,-160,-14.0235272124331,-6.50376744679851
6.7,0,-158,-12.8283554331903,-6.10568949640071
6.7,0,-156,-11.7759494214091,-5.79504454140861
6.7,0,-154,-10.8419006689884,-5.56378596662156
6.7,0,-152,-10.0079876677996,-5.40568265742249
6.7,0,-150,-9.26021914532041,-5.31592177254962
6.7,0,-148,-8.58757054781979,-5.29083600256987
6.7,0,-146,-7.98114667595209,-5.32771548238585
6.7,0,-144,-7.43361311693418,-5.42467864722915
6.7,0,-142,-6.93880181537015,-5.58058462898561
6.7,0,-140,-6.49143235577572,-5.79497434357828
6.7,0,-138,-6.08691192341707,-6.06802908233226
6.7,0,-136,-5.72118985920463,-6.40053413118974
6.7,0,-134,-5.39065076292895,-6.79382961830356
6.7,0,-132,-5.09203521464408,-7.24971880041457
6.7,0,-130,-4.82238051852309,-7.770279994684
6.7,0,-128,-4.57897609799096,-8.35748210528075
6.7,0,-126,-4.35932968819799,-9.01241659491844
6.7,0,-124,-4.16114152873905,-9.73380062471844
6.7,0,-122,-3.98228451004354,-10.5151423557552
6.7,0,-120,-3.82078876895276,-11.3396124660037
6.7,0,-118,-3.67482962588978,-12.1715704096986
6.7,0,-116,-3.54271804922239,-12.9452053715262
6.7,0,-114,-3.42289304968173,-13.5569669732012
6.7,0,-112,-3.31391556801188,-13.8800363929831
6.7,0,-110,-3.21446353576615,-13.8174074508506
6.7,0,-108,-3.12332787212812,-13.3641750230472
6.7,0,-106,-3.03940923633625,-12.6104868922392
6.7,0,-104,-2.96171539178539,-11.6814075825256
6.7,0,-102,-2.88935905926318,-10.681316709115
6.7,0,-100,-2.82155614746536,-9.67688283668458
6.7,0,-98,-2.75762425278309,-8.70376784844121
6.7,0,-96,-2.69698132071253,-7.77805202619428
6.7,0,-94,-2.63914436092334,-6.90497123519975
6.7,0,-92,-2.58372810929463,-6.08425298397817
6.7,0,-90,-2.53044353474924,-5.31307290777393
6.7,0,-88,-2.47909609754928,-4.58761097623395
