"Freq [GHz]","dB(PeakRealizedGain) []","dB(PeakRealizedGain)_1 []"
4.8,1.37550926717165,
4.82,1.68636711073149,
4.84,1.99967088116053,
4.86,2.31491294838595,
4.88,2.63145733416009,
4.9,2.94851727000608,
4.92,3.26513010760178,
4.94,3.58013046622889,
4.96,3.89212160752273,
4.98,4.19944743827247,
5,4.50016630091689,
5.02,4.79203028425271,
5.04,5.07247355692037,
5.06,5.33861511763758,
5.08,5.58728117050145,
5.1,5.81507099667408,
5.12,6.01839199973751,
5.14,6.19359757063299,
5.16,6.33713034184787,
5.18,6.44567816136559,
5.2,6.51634439895652,
5.22,6.54684101629267,
5.24,6.53556278074534,
5.26,6.4816632126951,
5.28,6.38517759811141,
5.3,6.24698365933403,
5.32,6.06859328754786,
5.34,5.85242230497042,
5.36,5.60136617192109,
5.38,5.31916295513572,
5.4,5.01043137452773,
5.42,4.68094217829599,
5.44,4.33818962088279,
5.46,3.99240281319851,
5.48,3.66419087070886,
5.5,3.36996529103797,
5.52,3.1426103136299,
5.54,3.01146406879927,
5.56,2.99848009510519,
5.58,3.10529608288411,
5.6,3.30823177154518,
6.4,,3.74125856344206
6.42,,3.84185368792017
6.44,,3.95105648444006
6.46,,4.06886921815975
6.48,,4.19526481442437
6.5,,4.33016700800623
6.52,,4.47342465076979
6.54,,4.62477850678896
6.56,,4.78381874019186
6.58,,4.94993025120075
6.6,,5.12222295521896
6.62,,5.29944405791854
6.64,,5.47986969235019
6.66,,5.66117382772724
6.68,,5.84027619968135
6.7,,6.01317575896775
6.72,,6.17478496354791
6.74,,6.31900805851853
6.76,,6.43810307919311
6.78,,6.52326567255373
6.8,,6.56481558441371
6.82,,6.55274489112217
6.84,,6.47756743464672
6.86,,6.33170356565864
6.88,,6.10981056562584
6.9,,5.80969302802798
6.92,,5.43366939969845
6.94,,4.98659741325411
6.96,,4.47685557412111
6.98,,3.91376255391388
7,,3.30791302320869
7.02,,2.67050881572842
7.04,,2.01259487231553
7.06,,1.34936929220418
7.08,,0.697130543761966
7.1,,0.068880211130791
7.12,,-0.531300275036455
7.14,,-1.10454285469729
7.16,,-1.65239075634132
7.18,,-2.174993830159
7.2,,-2.66943093628427
