"Wo [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(1,1)) []"
10.4,4.8,-1.72594710007056,
10.4,4.82,-1.86261169680788,
10.4,4.84,-2.01496144117965,
10.4,4.86,-2.18531225033915,
10.4,4.88,-2.3763946664065,
10.4,4.9,-2.59144078416758,
10.4,4.92,-2.83429228444218,
10.4,4.94,-3.10953562920515,
10.4,4.96,-3.42267261536399,
10.4,4.98,-3.78033755411467,
10.4,5,-4.19057676497284,
10.4,5.02,-4.66321235737922,
10.4,5.04,-5.21032072254425,
10.4,5.06,-5.84686567257386,
10.4,5.08,-6.59152989225483,
10.4,5.1,-7.46775845506079,
10.4,5.12,-8.50486124766337,
10.4,5.14,-9.73833680335343,
10.4,5.16,-11.2059511371241,
10.4,5.18,-12.9262147263547,
10.4,5.2,-14.8124887276247,
10.4,5.22,-16.4241586303497,
10.4,5.24,-16.8120459481398,
10.4,5.26,-15.6341551173794,
10.4,5.28,-13.7726028754866,
10.4,5.3,-11.9403793786483,
10.4,5.32,-10.3493719537365,
10.4,5.34,-9.01410174992748,
10.4,5.36,-7.90260184766366,
10.4,5.38,-6.97885029054974,
10.4,5.4,-6.21218604280708,
10.4,5.42,-5.57830923899498,
10.4,5.44,-5.05843608157315,
10.4,5.46,-4.63825615511334,
10.4,5.48,-4.30704621061244,
10.4,5.5,-4.05696356808986,
10.4,5.52,-3.88246710884555,
10.4,5.54,-3.77980435720147,
10.4,5.56,-3.74650851930489,
10.4,5.58,-3.78085727621366,
10.4,5.6,-3.881253851648,
10.4,6.4,,-2.17396589683106
10.4,6.42,,-2.1790142386063
10.4,6.44,,-2.18885627077178
10.4,6.46,,-2.20362349997007
10.4,6.48,,-2.22349857870394
10.4,6.5,,-2.24872015779572
10.4,6.52,,-2.27958907199011
10.4,6.54,,-2.31647611629132
10.4,6.56,,-2.35983173892447
10.4,6.58,,-2.41019806401505
10.4,6.6,,-2.46822376856841
10.4,6.62,,-2.53468248144266
10.4,6.64,,-2.61049555565372
10.4,6.66,,-2.69676030145345
10.4,6.68,,-2.79478507065367
10.4,6.7,,-2.90613297021191
10.4,6.72,,-3.03267647445845
10.4,6.74,,-3.17666581864105
10.4,6.76,,-3.34081479905151
10.4,6.78,,-3.52840845402688
10.4,6.8,,-3.74343795129688
10.4,6.82,,-3.9907685680525
10.4,6.84,,-4.27634618306761
10.4,6.86,,-4.60744443625736
10.4,6.88,,-4.99294444695905
10.4,6.9,,-5.44361166848338
10.4,6.92,,-5.97226568357802
10.4,6.94,,-6.59356820783903
10.4,6.96,,-7.3227322377022
10.4,6.98,,-8.17141835409838
10.4,7,,-9.13667177928387
10.4,7.02,,-10.1742454907807
10.4,7.04,,-11.1462438346525
10.4,7.06,,-11.7699158117618
10.4,7.08,,-11.7154247531744
10.4,7.1,,-10.9236203239086
10.4,7.12,,-9.68650361453495
10.4,7.14,,-8.33808650827778
10.4,7.16,,-7.06918523510795
10.4,7.18,,-5.95205822952893
10.4,7.2,,-4.99987395066205
10.8,4.8,-1.79153268743572,
10.8,4.82,-1.93628063639445,
10.8,4.84,-2.09783586618429,
10.8,4.86,-2.27868894044031,
10.8,4.88,-2.48177425335902,
10.8,4.9,-2.71056191916912,
10.8,4.92,-2.96917156887049,
10.8,4.94,-3.26251422070688,
10.8,4.96,-3.5964705206301,
10.8,4.98,-3.97811664058816,
10.8,5,-4.41601325395587,
10.8,5.02,-4.92057838144924,
10.8,5.04,-5.50457068362756,
10.8,5.06,-6.18371166467532,
10.8,5.08,-6.97745716529343,
10.8,5.1,-7.90983502346838,
10.8,5.12,-9.00990755114679,
10.8,5.14,-10.310137093611,
10.8,5.16,-11.8364298711829,
10.8,5.18,-13.5685298488084,
10.8,5.2,-15.3119138683361,
10.8,5.22,-16.4581864099794,
10.8,5.24,-16.2282791937043,
10.8,5.26,-14.8070832218495,
10.8,5.28,-13.0265103526425,
10.8,5.3,-11.3516581956859,
10.8,5.32,-9.90368366220907,
10.8,5.34,-8.68258831628435,
10.8,5.36,-7.65987795612925,
10.8,5.38,-6.80528359767741,
10.8,5.4,-6.09305982092381,
10.8,5.42,-5.50271482998259,
10.8,5.44,-5.01840950262888,
10.8,5.46,-4.62817336432494,
10.8,5.48,-4.32320819292219,
10.8,5.5,-4.097304283616,
10.8,5.52,-3.94632979834285,
10.8,5.54,-3.8677404732332,
10.8,5.56,-3.86005858576178,
