"Wo1 [mm]","Freq [GHz]","dB(S(1,1)) []","dB(S(1,1)) []"
13.6,4.8,-1.39230432651611,
13.6,4.82,-1.48499771210532,
13.6,4.84,-1.58632709080546,
13.6,4.86,-1.69728234608331,
13.6,4.88,-1.81898343359494,
13.6,4.9,-1.95269875956404,
13.6,4.92,-2.09986611214353,
13.6,4.94,-2.26211642207876,
13.6,4.96,-2.44130061562251,
13.6,4.98,-2.63951977875644,
13.6,5,-2.85915875578749,
13.6,5.02,-3.10292311853464,
13.6,5.04,-3.37387909515104,
13.6,5.06,-3.67549541150387,
13.6,5.08,-4.01168482949708,
13.6,5.1,-4.38684100094438,
13.6,5.12,-4.80586218854663,
13.6,5.14,-5.27414566967382,
13.6,5.16,-5.79752174869003,
13.6,5.18,-6.38206739723583,
13.6,5.2,-7.03368324221802,
13.6,5.22,-7.75720878575732,
13.6,5.24,-8.55464649107099,
13.6,5.26,-9.42171216449407,
13.6,5.28,-10.3414479847067,
13.6,5.3,-11.2735088550469,
13.6,5.32,-12.1400298596286,
13.6,5.34,-12.8183411073156,
13.6,5.36,-13.1664185932799,
13.6,5.38,-13.0961435973053,
13.6,5.4,-12.6380875042856,
13.6,5.42,-11.9172347683509,
13.6,5.44,-11.0720669373133,
13.6,5.46,-10.2034120699335,
13.6,5.48,-9.36902994087858,
13.6,5.5,-8.59659234289141,
13.6,5.52,-7.89665317735229,
13.6,5.54,-7.27113901346941,
13.6,5.56,-6.71811997875459,
13.6,5.58,-6.23429816307525,
13.6,5.6,-5.81622336972726,
13.6,6.4,,-3.09326389518414
13.6,6.42,,-3.159577359816
13.6,6.44,,-3.24174240928641
13.6,6.46,,-3.34119069047769
13.6,6.48,,-3.45979899361357
13.6,6.5,,-3.59997129741578
13.6,6.52,,-3.76475012331626
13.6,6.54,,-3.95796595105697
13.6,6.56,,-4.18443694612866
13.6,6.58,,-4.45023608210799
13.6,6.6,,-4.7630493489104
13.6,6.62,,-5.13265744566194
13.6,6.64,,-5.57158362947988
13.6,6.66,,-6.09595825794475
13.6,6.68,,-6.72663974290465
13.6,6.7,,-7.49054252762604
13.6,6.72,,-8.42173993114468
13.6,6.74,,-9.56043771326441
13.6,6.76,,-10.9423613966815
13.6,6.78,,-12.551001721314
13.6,6.8,,-14.1517018125386
13.6,6.82,,-14.9910580814246
13.6,6.84,,-14.2539868661964
13.6,6.86,,-12.4084268966763
13.6,6.88,,-10.386238895442
13.6,6.9,,-8.58733058011235
13.6,6.92,,-7.08360234238563
13.6,6.94,,-5.85123577130771
13.6,6.96,,-4.84805742520561
13.6,6.98,,-4.03330982215223
13.6,7,,-3.37183094934834
13.6,7.02,,-2.83434712743262
13.6,7.04,,-2.39686805248984
13.6,7.06,,-2.03992330773714
13.6,7.08,,-1.74782197882734
13.6,7.1,,-1.50798366315572
13.6,7.12,,-1.31035557730242
13.6,7.14,,-1.14691838267815
13.6,7.16,,-1.01127649411742
13.6,7.18,,-0.898324442834027
13.6,7.2,,-0.80397885271841
14,4.8,-1.79153268743572,
14,4.82,-1.93628063639445,
14,4.84,-2.09783586618429,
14,4.86,-2.27868894044031,
14,4.88,-2.48177425335902,
14,4.9,-2.71056191916912,
14,4.92,-2.96917156887049,
14,4.94,-3.26251422070688,
14,4.96,-3.5964705206301,
14,4.98,-3.97811664058816,
14,5,-4.41601325395587,
14,5.02,-4.92057838144924,
14,5.04,-5.50457068362756,
14,5.06,-6.18371166467532,
14,5.08,-6.97745716529343,
14,5.1,-7.90983502346838,
14,5.12,-9.00990755114679,
14,5.14,-10.310137093611,
14,5.16,-11.8364298711829,
14,5.18,-13.5685298488084,
14,5.2,-15.3119138683361,
14,5.22,-16.4581864099794,
14,5.24,-16.2282791937043,
14,5.26,-14.8070832218495,
14,5.28,-13.0265103526425,
14,5.3,-11.3516581956859,
14,5.32,-9.90368366220907,
14,5.34,-8.68258831628435,
14,5.36,-7.65987795612925,
14,5.38,-6.80528359767741,
14,5.4,-6.09305982092381,
14,5.42,-5.50271482998259,
14,5.44,-5.01840950262888,
14,5.46,-4.62817336432494,
14,5.48,-4.32320819292219,
14,5.5,-4.097304283616,
14,5.52,-3.94632979834285,
14,5.54,-3.8677404732332,
14,5.56,-3.86005858576178,
14,5.58,-3.92227744239598,
14,5.6,-4.05315933137104,
14,6.4,,-3.04145253208999
14,6.42,,-3.1159797310531
14,6.44,,-3.20502596216143
14,6.46,,-3.31026889666434
14,6.48,,-3.43378896302706
14,6.5,,-3.57816010499724
14,6.52,,-3.74656825752083
14,6.54,,-3.94296662808874
14,6.56,,-4.17228029038211
14,6.58,,-4.4406773438735
14,6.6,,-4.75593038640894
14,6.62,,-5.12790055616452
14,6.64,,-5.56918627081622
14,6.66,,-6.09598574401677
14,6.68,,-6.72920929325066
14,6.7,,-7.49578244094737
14,6.72,,-8.42968153791898
14,6.74,,-9.57072347158102
14,6.76,,-10.9534409342195
14,6.78,,-12.5580041896356
14,6.8,,-14.1425646659328
14,6.82,,-14.9512115262785
14,6.84,,-14.1944967969138
14,6.86,,-12.3540269742743
14,6.88,,-10.3449248288972
14,6.9,,-8.55786577895354
14,6.92,,-7.06330234913396
14,6.94,,-5.83779414956393
14,6.96,,-4.83970024673433
14,6.98,,-4.02868907364517
14,7,,-3.36991990750255
14,7.02,,-2.8343644838509
14,7.04,,-2.39822283400631
14,7.06,,-2.0421729072743
14,7.08,,-1.75063909673403
14,7.1,,-1.51113003702872
14,7.12,,-1.31366125342312
14,7.14,,-1.15026559000285
14,7.16,,-1.01458730225346
14,7.18,,-0.901551474428689
14,7.2,,-0.807098419277625
14.4,4.8,-2.62193684859887,
14.4,4.82,-2.90063896896578,
14.4,4.84,-3.22296582632159,
14.4,4.86,-3.59789044150877,
14.4,4.88,-4.0367126641685,
14.4,4.9,-4.55383025204889,
14.4,4.92,-5.16785587267924,
14.4,4.94,-5.90329707650021,
14.4,4.96,-6.79319556844436,
14.4,4.98,-7.88347409520086,
14.4,5,-9.24041621506902,
14.4,5.02,-10.9637604408233,
14.4,5.04,-13.2070033927384,
14.4,5.06,-16.173938586229,
14.4,5.08,-19.6764786931207,
14.4,5.1,-20.5726363970209,
14.4,5.12,-17.3543632480401,
14.4,5.14,-14.0811647794579,
14.4,5.16,-11.5834221347201,
14.4,5.18,-9.68474298216505,
14.4,5.2,-8.21080766945959,
14.4,5.22,-7.04715654288758,
14.4,5.24,-6.11899658064671,
14.4,5.26,-5.37565226737717,
14.4,5.28,-4.78165833590655,
14.4,5.3,-4.31172375564707,
14.4,5.32,-3.94778764441693,
14.4,5.34,-3.67722078201574,
14.4,5.36,-3.49166931145031,
14.4,5.38,-3.38625308682073,
14.4,5.4,-3.35892776716608,
14.4,5.42,-3.40985184936015,
14.4,5.44,-3.54059592676903,
14.4,5.46,-3.7530122875126,
14.4,5.48,-4.04757467129121,
14.4,5.5,-4.42104382974716,
14.4,5.52,-4.86348557072266,
14.4,5.54,-5.3550658363512,
14.4,5.56,-5.86376000142164,
14.4,5.58,-6.34601041025757,
14.4,5.6,-6.75264556972642,
14.4,6.4,,-2.99664533603995
14.4,6.42,,-3.07773380037192
14.4,6.44,,-3.17281518523697
14.4,6.46,,-3.28370460125769
14.4,6.48,,-3.41261302388275
14.4,6.5,,-3.56224278634665
14.4,6.52,,-3.73591105097906
14.4,6.54,,-3.93771061040415
14.4,6.56,,-4.17272081607146
14.4,6.58,,-4.44728618092508
14.4,6.6,,-4.76938660896836
14.4,6.62,,-5.14913135880728
14.4,6.64,,-5.59941760535114
14.4,6.66,,-6.13679816350363
14.4,6.68,,-6.78258041007478
14.4,6.7,,-7.56405517935357
14.4,6.72,,-8.51526718272622
14.4,6.74,,-9.67493348396349
14.4,6.76,,-11.0725091533916
14.4,6.78,,-12.6706892216564
14.4,6.8,,-14.1823567735055
14.4,6.82,,-14.8163248904342
14.4,6.84,,-13.9104737377313
14.4,6.86,,-12.0512730031082
14.4,6.88,,-10.0842394424979
14.4,6.9,,-8.34644932638971
14.4,6.92,,-6.89436033249311
14.4,6.94,,-5.70313453938294
14.4,6.96,,-4.73228658177406
14.4,6.98,,-3.94285068491275
14.4,7,,-3.30114400967295
14.4,7.02,,-2.77906906260737
14.4,7.04,,-2.35357045451202
14.4,7.06,,-2.00592229840546
14.4,7.08,,-1.72102549104347
14.4,7.1,,-1.4867680272256
14.4,7.12,,-1.29346617708404
14.4,7.14,,-1.13339050241026
14.4,7.16,,-1.00037303677815
14.4,7.18,,-0.889487552185306
14.4,7.2,,-0.796792828290553
