"Freq [GHz]","dB(S(1,1)) []","dB(S(2,1)) []"
4.8,-2.29380367774855,-13.0276606807286
4.82,-2.46654893044807,-12.7820838235804
4.84,-2.654764052068,-12.5442098010659
4.86,-2.85997627361902,-12.3155220125955
4.88,-3.08390410355803,-12.0976746494718
4.9,-3.32850119589743,-11.8925134998905
4.92,-3.59601618049626,-11.7021014498183
4.94,-3.88907435679772,-11.5287502592746
4.96,-4.21078894162848,-11.3750605706976
4.98,-4.56491168045862,-11.2439724506973
5,-4.95603499627171,-11.1388289831706
5.02,-5.3898601902658,-11.0634553629302
5.04,-5.87354778811338,-11.0222553411937
5.06,-6.41616499830381,-11.0203253993819
5.08,-7.02923620110506,-11.0635842102369
5.1,-7.72737103461735,-11.158910241577
5.12,-8.52885004845541,-11.3142732574242
5.14,-9.45576975778685,-11.5388357431683
5.16,-10.5325248265663,-11.8429883311934
5.18,-11.7789451540913,-12.2382704281085
5.2,-13.1873440871137,-12.7371151448106
5.22,-14.6567720439045,-13.3523458920693
5.24,-15.8587075818117,-14.0963318742502
5.26,-16.2119218792911,-14.9796533128446
5.28,-15.4368057347349,-16.0089751980799
5.3,-13.9749609768434,-17.1834906427493
5.32,-12.3729012607788,-18.4887213043161
5.34,-10.890271420953,-19.8859875775893
5.36,-9.59615273753903,-21.2973377394719
5.38,-8.48786512691755,-22.5942452488891
5.4,-7.54233995667521,-23.61660777869
5.42,-6.73359208980002,-24.246665679076
5.44,-6.03801460779792,-24.4881348347579
5.46,-5.43564369378381,-24.4505241888401
5.48,-4.91014119217096,-24.256553047721
5.5,-4.44840998334308,-23.9751446812539
5.52,-4.04014768132052,-23.609469259092
5.54,-3.67743640715854,-23.1154265353281
5.56,-3.35439179580784,-22.4350110187737
5.58,-3.06686502839171,-21.5356417176073
5.6,-2.81217844537535,-20.4351929231275
5.62,-2.58886893968775,-19.1952805359053
5.64,-2.39641195931973,-17.8932000829792
5.66,-2.23490375084528,-16.5974646839537
5.68,-2.10469247124472,-15.3580507130732
5.7,-2.00597055590338,-14.2071588835332
5.72,-1.93836785064074,-13.1635564486795
5.74,-1.90060876710734,-12.2367519234903
5.76,-1.8903050549686,-11.4299945516682
5.78,-1.90393943629065,-10.7422428980831
5.8,-1.93705509217221,-10.1694850025827
5.82,-1.98461517525115,-9.70570719190237
5.84,-2.04145520362062,-9.34366981553017
5.86,-2.10273508968315,-9.07554623431727
5.88,-2.16430988668414,-8.89343158464693
5.9,-2.22297004757899,-8.78971728636089
5.92,-2.2765387380589,-8.75733637453714
5.94,-2.32384356676214,-8.78989772986469
5.96,-2.36459728996732,-8.88173574464423
5.98,-2.3992267979032,-9.02790382244675
6,-2.42868551798124,-9.22413684383486
6.02,-2.4542755876134,-9.46680184215708
6.04,-2.47749629390976,-9.75284974251106
6.06,-2.49992657837144,-10.0797754000754
6.08,-2.52314288096855,-10.4455888352086
6.1,-2.54866941624208,-10.8487974650972
6.12,-2.57795581892246,-11.2883969173808
6.14,-2.61237645936166,-11.7638661192623
6.16,-2.6532460882005,-12.2751600433847
6.18,-2.70184738580838,-12.822689730885
6.2,-2.75946713919457,-13.4072724445947
6.22,-2.82743893286876,-14.0300224827165
6.24,-2.90719129183168,-14.6921310306756
6.26,-3.00030108346973,-15.3944444351701
6.28,-3.10855262008281,-16.1366840655339
6.3,-3.23400324181961,-16.9160463707037
6.32,-3.37905608324127,-17.7247833565104
6.34,-3.54654001941654,-18.5462715069632
6.36,-3.73979509468388,-19.3493500626585
6.38,-3.96275856279656,-20.0821778512891
6.4,-4.22004152513785,-20.6706605186528
6.42,-4.51697912655311,-21.0312310597606
6.44,-4.85963048706821,-21.1037381807106
6.46,-5.25470525335429,-20.8876393865021
6.48,-5.70941878599321,-20.4478512651057
6.5,-6.23135665419774,-19.8837086796706
6.52,-6.82859086560947,-19.2914064798393
6.54,-7.51052130902411,-18.7439984430295
6.56,-8.29009393157619,-18.2879319764205
6.58,-9.18796571888085,-17.94655546445
6.6,-10.2388366024348,-17.7251141103431
6.62,-11.5001222530266,-17.6161650686509
6.64,-13.0642481880821,-17.6056753996584
6.66,-15.0768182572309,-17.6795060621457
6.68,-17.7437302050227,-17.8291568132819
6.7,-21.056641650481,-18.0554697989921
6.72,-22.5962279752183,-18.3695746788094
6.74,-19.559928222543,-18.7912595866976
6.76,-15.93013716143,-19.3456060647367
6.78,-13.0648329175796,-20.0588262105281
6.8,-10.8371960278312,-20.9537741383549
6.82,-9.06783919331246,-22.0445842737715
6.84,-7.63726032687658,-23.3281032996834
6.86,-6.46720630301042,-24.7670102051776
6.88,-5.5035045017294,-26.2580529781251
6.9,-4.70630297372738,-27.5935850542854
6.92,-4.04483935460234,-28.4858571184176
6.94,-3.49461289528835,-28.7509903159008
6.96,-3.03577929164383,-28.4869430497895
6.98,-2.65215359021015,-27.9566406350714
7,-2.33051657262478,-27.3758328782288
7.02,-2.06008251216576,-26.8557463679166
7.04,-1.83206593626905,-26.4373084334254
7.06,-1.6393206825824,-26.127770242228
7.08,-1.47603859125542,-25.9210504963173
7.1,-1.33749982529593,-25.8069846601703
7.12,-1.21986802432918,-25.7751325463824
7.14,-1.12002383250535,-25.8161873432036
7.16,-1.03543068977696,-25.9223775197081
7.18,-0.9640273241507,-26.0874642366964
7.2,-0.90414207792429,-26.3065875036147
