"bb [mm]","Freq [GHz]","dB(S(2,1)) []"
17,4.8,-3.74835122751744
17,4.82,-3.62018559320385
17,4.84,-3.51027318120827
17,4.86,-3.4140012653158
17,4.88,-3.32710458678913
17,4.9,-3.24578289834674
17,4.92,-3.16676330938094
17,4.94,-3.087320333181
17,4.96,-3.00526645759411
17,4.98,-2.9189242910438
17,5,-2.82709035346009
17,5.02,-2.72900532220932
17,5.04,-2.62437023400802
17,5.06,-2.51354100131154
17,5.08,-2.39837390325986
17,5.1,-2.28551613738497
17,5.12,-2.19957258213007
17,5.14,-2.23968790447131
17,5.16,-2.81578140409321
17,5.18,-4.93069942745596
17,5.2,-6.84223399429329
17,5.22,-6.41008166071484
17,5.24,-5.92981029013218
17,5.26,-5.86296312275467
17,5.28,-6.14990146940095
17,5.3,-6.76189314138608
17,5.32,-7.70058190162988
17,5.34,-8.95648144709445
17,5.36,-10.479226173309
17,5.38,-12.1816287537221
17,5.4,-13.9775815061022
17,5.42,-15.8240106193661
17,5.44,-17.7398749663752
17,5.46,-19.8044987472106
17,5.48,-22.1582717278129
17,5.5,-25.0324556198065
17,5.52,-28.8303316461979
17,5.54,-33.9107620190574
17,5.56,-35.1495078339965
17,5.58,-30.4022052620564
17,5.6,-26.689549837078
17,5.62,-24.0620779341546
17,5.64,-22.0888144255815
17,5.66,-20.5354333039815
17,5.68,-19.2730827938658
17,5.7,-18.2255628328864
17,5.72,-17.3449562054287
17,5.74,-16.5997299973348
17,5.76,-15.968466492062
17,5.78,-15.4363227420878
17,5.8,-14.9929053330704
17,5.82,-14.6309224999238
17,5.84,-14.3452837926805
17,5.86,-14.1324674073642
17,5.88,-13.9900527805559
17,5.9,-13.9163584361375
17,5.92,-13.9101496044891
17,5.94,-13.9703951229384
17,5.96,-14.0960626866341
17,5.98,-14.2859476783942
17,6,-14.5385345282732
17,6.02,-14.851891305251
17,6.04,-15.2235983288581
17,6.06,-15.6507103419725
17,6.08,-16.1297496259368
17,6.1,-16.6567247759811
17,6.12,-17.227166916741
17,6.14,-17.8361717157299
17,6.16,-18.4784308127325
17,6.18,-19.148228642087
17,6.2,-19.8393678432777
17,6.22,-20.5449661369206
17,6.24,-21.2570386541274
17,6.26,-21.9657466933739
17,6.28,-22.658176623904
17,6.3,-23.3165672458747
17,6.32,-23.9161530372119
17,6.34,-24.4234227562288
17,6.36,-24.7966751464939
17,6.38,-24.9916267973732
17,6.4,-24.9734983877789
17,6.42,-24.7318322020092
17,6.44,-24.2889157667706
17,6.46,-23.695212402102
17,6.48,-23.0152322928894
17,6.5,-22.3130979130176
17,6.52,-21.6435555371015
17,6.54,-21.0483435505269
17,6.56,-20.5555215174238
17,6.58,-20.1800141462731
17,6.6,-19.9248043199034
17,6.62,-19.7827771189766
17,6.64,-19.7392323294548
17,6.66,-19.77497138057
17,6.68,-19.8698451527661
17,6.7,-20.006584162891
17,6.72,-20.174390239811
17,6.74,-20.3712671866853
17,6.76,-20.6040016262287
17,6.78,-20.8855426704409
17,6.8,-21.2308273474321
17,6.82,-21.652784257002
17,6.84,-22.1598259649991
17,6.86,-22.7551467070434
17,6.88,-23.4373684248993
17,6.9,-24.2018342437537
17,6.92,-25.0419811254745
17,6.94,-25.9504728039456
17,6.96,-26.91998169659
17,6.98,-27.9436295929306
17,7,-29.0151452977871
17,7.02,-30.1288008800476
17,7.04,-31.2791691186653
17,7.06,-32.4607159402955
17,7.08,-33.6672083033591
17,7.1,-34.8908813993455
17,7.12,-36.1212718347305
17,7.14,-37.3435994622056
17,7.16,-38.5366156863711
17,7.18,-39.6700444305099
17,7.2,-40.702328522001
19,4.8,-26.2718861344288
19,4.82,-28.3084150102837
19,4.84,-28.2366162152463
19,4.86,-26.9804757386409
19,4.88,-25.5920324908079
19,4.9,-24.3832312102606
19,4.92,-23.3750932196019
19,4.94,-22.5300816169417
19,4.96,-21.8087354744602
19,4.98,-21.1795321452888
19,5,-20.6187695189277
19,5.02,-20.1088933722069
19,5.04,-19.6370374152784
19,5.06,-19.194041811374
19,5.08,-18.7738998793388
19,5.1,-18.373531231409
19,5.12,-17.9927738284462
19,5.14,-17.6344779369706
19,5.16,-17.3045682347669
19,5.18,-17.011929022197
19,5.2,-16.7679806374645
19,5.22,-16.5858691147298
19,5.24,-16.479288724359
19,5.26,-16.4610787705304
19,5.28,-16.5418402280572
19,5.3,-16.7288555332979
19,5.32,-17.0255367000535
19,5.34,-17.4314865587343
19,5.36,-17.9430913939981
19,5.38,-18.5544382997626
19,5.4,-19.2583066602083
19,5.42,-20.0470134374899
19,5.44,-20.9129567044395
19,5.46,-21.8487561411418
19,5.48,-22.8469018948053
19,5.5,-23.8987811106095
19,5.52,-24.9928597597258
19,5.54,-26.1116998064075
19,5.56,-27.2275469310179
19,5.58,-28.2968684403708
19,5.6,-29.2562550880822
19,5.62,-30.0257628702678
19,5.64,-30.5273248325707
19,5.66,-30.7161557436385
19,5.68,-30.6036011600906
19,5.7,-30.2494950475931
19,5.72,-29.7319903470643
19,5.74,-29.1210303500072
19,5.76,-28.4678833288376
19,5.78,-27.806284140408
19,5.8,-27.1574902085691
19,5.82,-26.5350373515097
19,5.84,-25.9480197431543
19,5.86,-25.4030164716187
19,5.88,-24.9050933965664
19,5.9,-24.458264461981
19,5.92,-24.0656792347955
19,5.94,-23.7296991903039
19,5.96,-23.4519507139016
19,5.98,-23.2333948741268
19,6,-23.0744259135621
19,6.02,-22.9749957160658
19,6.04,-22.9347552074168
19,6.06,-22.9532020218081
19,6.08,-23.0298241774372
19,6.1,-23.1642300204993
19,6.12,-23.3562536938453
19,6.14,-23.6060210436373
19,6.16,-23.9139504744641
19,6.18,-24.2806420575923
19,6.2,-24.7065676581786
19,6.22,-25.1914001632759
19,6.24,-25.732688445135
19,6.26,-26.3233743710341
19,6.28,-26.9473897093785
19,6.3,-27.5725441667385
19,6.32,-28.1411546229449
19,6.34,-28.5636142332784
19,6.36,-28.7289221344923
19,6.38,-28.5464183678681
19,6.4,-28.0005956170087
19,6.42,-27.1645352456106
19,6.44,-26.1561215885983
19,6.46,-25.0863233217714
19,6.48,-24.0369256725573
19,6.5,-23.0620589488704
19,6.52,-22.1966915528138
19,6.54,-21.4633715205155
19,6.56,-20.8754678485727
19,6.58,-20.4378887614281
19,6.6,-20.1469046897314
19,6.62,-19.9905417193447
19,6.64,-19.9504016359135
19,6.66,-20.0049756365684
19,6.68,-20.133878856682
19,6.7,-20.3220980913808
19,6.72,-20.5632588136146
19,6.74,-20.8610466511822
19,6.76,-21.2283520306974
19,6.78,-21.6844333207161
19,6.8,-22.2511056847585
19,6.82,-22.9492424625844
19,6.84,-23.7965831062637
19,6.86,-24.8072281025517
19,6.88,-25.9926478774448
19,6.9,-27.3637489592138
19,6.92,-28.9334846051365
19,6.94,-30.7194182165575
19,6.96,-32.7449413152209
19,6.98,-35.0345982747192
19,7,-37.5863133796893
19,7.02,-40.2622110870617
19,7.04,-42.5038119398532
19,7.06,-43.3283394513355
19,7.08,-42.6697191737422
19,7.1,-41.4937919762261
19,7.12,-40.4019495686978
19,7.14,-39.5468589619343
19,7.16,-38.9284037302827
19,7.18,-38.5145427680726
19,7.2,-38.2729773234171
21,4.8,-23.7225242776381
21,4.82,-23.6740585926438
21,4.84,-23.6013286993104
21,4.86,-23.5051639412036
21,4.88,-23.3864735419983
21,4.9,-23.246282414951
21,4.92,-23.0857678475663
21,4.94,-22.9062972185107
21,4.96,-22.7094669005017
21,4.98,-22.4971425048599
21,5,-22.2715006101001
21,5.02,-22.0350720399516
21,5.04,-21.7907865283215
21,5.06,-21.5420180693024
21,5.08,-21.2926291412439
21,5.1,-21.0470099445953
21,5.12,-20.8101053845726
21,5.14,-20.5874175175778
21,5.16,-20.384964984721
21,5.18,-20.2091754113924
